theorem	proof_outcome	axioms	evidence
CardanoKeri.Checkpoint.instDecidableEqState.decEq._proof_3	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqState.decEq._proof_4	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqState.decEq._proof_5	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqState.decEq._proof_6	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqState.decEq._proof_7	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqState.decEq._proof_8	PROVED	none	axioms.log
CardanoKeri.Checkpoint.instDecidableEqState.decEq._proof_9	PROVED	none	axioms.log
CardanoKeri.Checkpoint.poisonAfter.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.poisonAfter.eq_2	PROVED	none	axioms.log
CardanoKeri.Checkpoint.poisonAfter.eq_3	PROVED	none	axioms.log
CardanoKeri.Checkpoint.poisonAfter.eq_4	PROVED	none	axioms.log
CardanoKeri.Checkpoint.poisonAfter.eq_5	PROVED	none	axioms.log
CardanoKeri.Checkpoint.poisonAfter.eq_6	PROVED	none	axioms.log
CardanoKeri.Checkpoint.poisonSinceLastRotation.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.replay.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.replay.eq_2	PROVED	none	axioms.log
CardanoKeri.Checkpoint.stepFn.eq_1	PROVED	none	axioms.log
CardanoKeri.Checkpoint.stepFn.eq_10	PROVED	none	axioms.log
CardanoKeri.Checkpoint.stepFn.eq_2	PROVED	none	axioms.log
CardanoKeri.Checkpoint.stepFn.eq_3	PROVED	none	axioms.log
CardanoKeri.Checkpoint.stepFn.eq_4	PROVED	none	axioms.log
CardanoKeri.Checkpoint.stepFn.eq_5	PROVED	none	axioms.log
CardanoKeri.Checkpoint.stepFn.eq_6	PROVED	none	axioms.log
CardanoKeri.Checkpoint.stepFn.eq_7	PROVED	none	axioms.log
CardanoKeri.Checkpoint.stepFn.eq_8	PROVED	none	axioms.log
CardanoKeri.Checkpoint.stepFn.eq_9	PROVED	none	axioms.log
CardanoKeri.Checkpoint.trace_from_convicted	PROVED	none	axioms.log
CardanoKeri.Checkpoint.trace_poison_fold	PROVED	none	axioms.log
CardanoKeri.Checkpoint.trace_sn_monotone_all	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.Acc.mk.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Acc.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Acc.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.AccInv.activeCkpt	PROVED	none	axioms.log
CardanoKeri.Registry.AccInv.ckptActive	PROVED	none	axioms.log
CardanoKeri.Registry.AccInv.ckptNodup	PROVED	none	axioms.log
CardanoKeri.Registry.AccInv.goActive	PROVED	none	axioms.log
CardanoKeri.Registry.AccInv.goFar	PROVED	none	axioms.log
CardanoKeri.Registry.AccInv.goNoCkpt	PROVED	none	axioms.log
CardanoKeri.Registry.AccInv.goUnique	PROVED	none	axioms.log
CardanoKeri.Registry.AccInv.leafNodup	PROVED	none	axioms.log
CardanoKeri.Registry.AccInv.reqBelowNext	PROVED	none	axioms.log
CardanoKeri.Registry.AccInv.reqNodup	PROVED	none	axioms.log
CardanoKeri.Registry.Action.contribute.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Action.contribute.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Action.contribute.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Action.convictCkpt.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Action.convictCkpt.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Action.convictCkpt.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Action.fold.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Action.fold.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Action.fold.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Action.pause.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Action.pause.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Action.pause.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Action.reap.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Action.reap.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Action.reap.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Action.resume.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Action.resume.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Action.resume.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Action.retract.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Action.retract.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Action.retract.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Actor.anyone.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Actor.nextKeys.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Actor.ofNat_ctorIdx	PROVED	none	axioms.log
CardanoKeri.Registry.Actor.owner.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Actor.proof.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.CkState.live.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.CkState.parked.inj	PROVED	none	axioms.log
CardanoKeri.Registry.CkState.parked.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.CkState.parked.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.CkState.tomb.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Ckpt.mk.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Ckpt.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Ckpt.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Env.mk.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Env.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Env.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Flow.mk.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Flow.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Flow.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.FoldAction.ofNat_ctorIdx	PROVED	none	axioms.log
CardanoKeri.Registry.FoldAction.process.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.FoldAction.reject.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Inv.activeCkpt	PROVED	none	axioms.log
CardanoKeri.Registry.Inv.ckptActive	PROVED	none	axioms.log
CardanoKeri.Registry.Inv.ckptNodup	PROVED	none	axioms.log
CardanoKeri.Registry.Inv.goActive	PROVED	none	axioms.log
CardanoKeri.Registry.Inv.goFar	PROVED	none	axioms.log
CardanoKeri.Registry.Inv.goNoCkpt	PROVED	none	axioms.log
CardanoKeri.Registry.Inv.goUnique	PROVED	none	axioms.log
CardanoKeri.Registry.Inv.leafNodup	PROVED	none	axioms.log
CardanoKeri.Registry.Inv.reqBelowNext	PROVED	none	axioms.log
CardanoKeri.Registry.Inv.reqNodup	PROVED	none	axioms.log
CardanoKeri.Registry.Op.convict.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Op.goConvicted.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Op.goDormant.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Op.goDormant.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Op.goDormant.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Op.register.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Op.revive.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Op.userPostable.eq_1	PROVED	none	axioms.log
CardanoKeri.Registry.Op.userPostable.eq_2	PROVED	none	axioms.log
CardanoKeri.Registry.Op.userPostable.eq_3	PROVED	none	axioms.log
CardanoKeri.Registry.Op.userPostable.eq_4	PROVED	none	axioms.log
CardanoKeri.Registry.Params.hD	PROVED	none	axioms.log
CardanoKeri.Registry.Params.hFund	PROVED	none	axioms.log
CardanoKeri.Registry.Params.hProcess	PROVED	none	axioms.log
CardanoKeri.Registry.Params.hRetract	PROVED	none	axioms.log
CardanoKeri.Registry.Params.mk.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Params.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Params.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.R10_honest_phase1_reject_exclusive	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R10_honest_phase1_reject_exclusive._proof_1_1	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R10_phase1_phase2_exclusive	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R10_phase1_phase2_exclusive._proof_1_1	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R10_phase2_reject_exclusive	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R10_phase2_reject_exclusive._proof_1_1	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R11_ckpt_edges_move_no_value	PROVED	none	axioms.log
CardanoKeri.Registry.R11_contribute_value	PROVED	none	axioms.log
CardanoKeri.Registry.R11_go_refunds_reaper	PROVED	propext	axioms.log
CardanoKeri.Registry.R11_reap_flow	PROVED	propext	axioms.log
CardanoKeri.Registry.R11_reap_is_samaritan	PROVED	propext	axioms.log
CardanoKeri.Registry.R11_retract_value	PROVED	propext	axioms.log
CardanoKeri.Registry.R11_samaritan_never_loses	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R12_leaf_changes_only_by_fold	PROVED	none	axioms.log
CardanoKeri.Registry.R12_leaf_enters_only_by_fold	PROVED	none	axioms.log
CardanoKeri.Registry.R13_live_never_reaped	PROVED	propext	axioms.log
CardanoKeri.Registry.R13_owner_reaps_early	PROVED	propext	axioms.log
CardanoKeri.Registry.R13_parked_after_grace	PROVED	propext	axioms.log
CardanoKeri.Registry.R13_parked_needs_grace	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R13_parked_needs_grace._proof_1_2	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R13_tomb_reaped	PROVED	propext	axioms.log
CardanoKeri.Registry.R14_convictCkpt_needs_proof	PROVED	propext	axioms.log
CardanoKeri.Registry.R14_convict_at_position	PROVED	propext	axioms.log
CardanoKeri.Registry.R14_convict_dormant_needs_proof	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R14_convict_in_batch_needs_proof	PROVED	propext	axioms.log
CardanoKeri.Registry.R1_active_ckpt_or_go	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R1_ckpt_implies_active	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R1_not_active_no_ckpt	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R1_registered_refused	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R2_one_ckpt_per_aid	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R2_one_go_per_aid	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R2_one_leaf_per_aid	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R3_convicted_never_registered	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R3_convicted_permanent	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R4_leaf_permanent	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R5_plugin_pinned	PROVED	none	axioms.log
CardanoKeri.Registry.R6_fold_advances	PROVED	propext	axioms.log
CardanoKeri.Registry.R6_gen_step	PROVED	none	axioms.log
CardanoKeri.Registry.R6_registry_untouched	PROVED	none	axioms.log
CardanoKeri.Registry.R7_one_fold_per_generation	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R7_one_fold_per_generation._proof_1_10	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R7_stale_fold_refused	PROVED	propext	axioms.log
CardanoKeri.Registry.R8_empty_fold_refused	PROVED	propext	axioms.log
CardanoKeri.Registry.R8_plugin_swap_refused	PROVED	propext	axioms.log
CardanoKeri.Registry.R9_go_never_rejected	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R9_go_never_retracted	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.R9_reject_enabled	PROVED	propext	axioms.log
CardanoKeri.Registry.R9_reject_needs_rejectable	PROVED	propext	axioms.log
CardanoKeri.Registry.R9_retract_enabled	PROVED	propext	axioms.log
CardanoKeri.Registry.R9_retract_needs_phase2	PROVED	propext	axioms.log
CardanoKeri.Registry.Reach.brecOn	PROVED	none	axioms.log
CardanoKeri.Registry.ReachFar.brecOn	PROVED	none	axioms.log
CardanoKeri.Registry.Request.mk.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Request.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Request.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Status.active.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Status.active.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Status.active.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Status.convicted.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Status.dormant.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Status.dormant.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Status.dormant.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.Sys.init.eq_1	PROVED	none	axioms.log
CardanoKeri.Registry.Sys.mk.inj	PROVED	none	axioms.log
CardanoKeri.Registry.Sys.mk.injEq	PROVED	propext	axioms.log
CardanoKeri.Registry.Sys.mk.sizeOf_spec	PROVED	none	axioms.log
CardanoKeri.Registry.accInv_of_inv	PROVED	none	axioms.log
CardanoKeri.Registry.accInv_remove_postable	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.applyBatch.eq_1	PROVED	none	axioms.log
CardanoKeri.Registry.applyBatch.eq_2	PROVED	none	axioms.log
CardanoKeri.Registry.applyBatch_append	PROVED	propext	axioms.log
CardanoKeri.Registry.applyBatch_inv	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.applyBatch_leaf_mono	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.applyBatch_register_registered	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.applyBatch_reject_go	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.applyBatch_unknown	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.eq_of_mem_of_fst_eq	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.fst_ne_of_mem_remove	PROVED	propext	axioms.log
CardanoKeri.Registry.goIn_cons_go	PROVED	propext	axioms.log
CardanoKeri.Registry.goIn_cons_postable	PROVED	propext	axioms.log
CardanoKeri.Registry.goIn_remove_other	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.goIn_remove_postable	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.goInv_after_go	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.goOp.eq_1	PROVED	none	axioms.log
CardanoKeri.Registry.goOp_not_postable	PROVED	none	axioms.log
CardanoKeri.Registry.goPending_iff	PROVED	none	axioms.log
CardanoKeri.Registry.go_not_phase2	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.go_not_phase2._proof_1_1	PROVED	propext, Quot.sound	axioms.log
CardanoKeri.Registry.instDecidableEqAcc.decEq._proof_1	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAcc.decEq._proof_2	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAcc.decEq._proof_3	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAcc.decEq._proof_4	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAcc.decEq._proof_5	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAcc.decEq._proof_6	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAcc.decEq._proof_7	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_1	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_10	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_11	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_12	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_13	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_14	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_15	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_16	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_17	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_18	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_19	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_2	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_20	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_21	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_22	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_23	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_24	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_25	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_26	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_27	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_28	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_29	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_3	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_30	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_31	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_32	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_33	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_34	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_35	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_36	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_37	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_38	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_39	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_4	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_40	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_41	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_42	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_43	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_44	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_45	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_46	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_47	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_48	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_49	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_5	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_50	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_51	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_52	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_53	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_54	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_55	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_56	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_57	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_58	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_59	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_6	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_60	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_61	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_62	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_63	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_7	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_8	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqAction.decEq._proof_9	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqActor._proof_1	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqActor._proof_2	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqCkState.decEq._proof_1	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqCkState.decEq._proof_2	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqCkState.decEq._proof_3	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqCkState.decEq._proof_4	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqCkState.decEq._proof_5	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqCkState.decEq._proof_6	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqCkState.decEq._proof_7	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqCkState.decEq._proof_8	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqCkpt.decEq._proof_1	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqCkpt.decEq._proof_2	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqCkpt.decEq._proof_3	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqCkpt.decEq._proof_4	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqFlow.decEq._proof_1	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqFlow.decEq._proof_2	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqFlow.decEq._proof_3	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqFlow.decEq._proof_4	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqFlow.decEq._proof_5	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqFlow.decEq._proof_6	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqFlow.decEq._proof_7	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqFoldAction._proof_1	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqFoldAction._proof_2	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_1	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_10	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_11	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_12	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_13	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_14	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_15	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_16	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_17	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_18	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_19	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_2	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_20	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_21	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_22	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_3	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_4	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_5	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_6	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_7	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_8	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqOp.decEq._proof_9	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqRequest.decEq._proof_1	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqRequest.decEq._proof_2	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqRequest.decEq._proof_3	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqRequest.decEq._proof_4	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqRequest.decEq._proof_5	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqStatus.decEq._proof_1	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqStatus.decEq._proof_10	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqStatus.decEq._proof_2	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqStatus.decEq._proof_3	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqStatus.decEq._proof_4	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqStatus.decEq._proof_5	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqStatus.decEq._proof_6	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqStatus.decEq._proof_7	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqStatus.decEq._proof_8	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqStatus.decEq._proof_9	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqSys.decEq._proof_1	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqSys.decEq._proof_2	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqSys.decEq._proof_3	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqSys.decEq._proof_4	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqSys.decEq._proof_5	PROVED	none	axioms.log
CardanoKeri.Registry.instDecidableEqSys.decEq._proof_6	PROVED	none	axioms.log
